"Year","University","Unit","Code","Degree","Cutoff","DegreeOnly"
2022,"Almería","Facultad de Ciencias Económicas y Empresariales",2501719,"Grado en Administración y Dirección de Empresas (Facultad de Ciencias Económicas y Empresariales)",5,"Grado en Administración y Dirección de Empresas"
2022,"Almería","Facultad de Ciencias Económicas y Empresariales",2501722,"Grado en Finanzas y Contabilidad (Facultad de Ciencias Económicas y Empresariales)",5,"Grado en Finanzas y Contabilidad"
2022,"Almería","Facultad de Ciencias Económicas y Empresariales",2501723,"Grado en Marketing e Investigación de Mercados (Facultad de Ciencias Económicas y Empresariales)",5,"Grado en Marketing e Investigación de Mercados"
2022,"Almería","Facultad de Ciencias Económicas y Empresariales",2501725,"Grado en Turismo (Facultad de Ciencias Económicas y Empresariales)",5,"Grado en Turismo"
2022,"Almería","Facultad de Ciencias Económicas y Empresariales",2504027,"Grado en Economía (Facultad de Ciencias Económicas y Empresariales)",5,"Grado en Economía"
2022,"Almería","Facultad de Ciencias Económicas y Empresariales",7000650,"Doble grado en Derecho y Administración y Dirección de Empresas (Facultad de Ciencias Económicas y Empresariales)",10.8,"Doble grado en Derecho y Administración y Dirección de Empresas"
2022,"Almería","Facultad de Derecho",2501130,"Grado en Gestión y Administración Pública (Facultad de Derecho)",5,"Grado en Gestión y Administración Pública"
2022,"Almería","Facultad de Derecho",2501720,"Grado en Derecho (Facultad de Derecho)",7.22,"Grado en Derecho"
2022,"Almería","Facultad de Derecho",2501724,"Grado en Relaciones Laborales y Recursos Humanos (Facultad de Derecho)",5,"Grado en Relaciones Laborales y Recursos Humanos"
2022,"Almería","Facultad de Derecho",7000978,"Doble grado en Derecho y Gestión y Administración Pública (Facultad de Derecho)",5,"Doble grado en Derecho y Gestión y Administración Pública"
2022,"Almería","Facultad de Ciencias de la Educación",2501717,"Grado en Educación Infantil (Facultad de Ciencias de la Educación)",6.5,"Grado en Educación Infantil"
2022,"Almería","Facultad de Ciencias de la Educación",2501718,"Grado en Educación Primaria (Facultad de Ciencias de la Educación)",7.5,"Grado en Educación Primaria"
2022,"Almería","Facultad de Ciencias de la Educación",2502530,"Grado en Educación Social (Facultad de Ciencias de la Educación)",5.77,"Grado en Educación Social"
2022,"Almería","Facultad de Ciencias de la Educación",2502724,"Grado en Ciencias de la Actividad Física y del Deporte (Facultad de Ciencias de la Educación)",11.05,"Grado en Ciencias de la Actividad Física y del Deporte"
2022,"Almería","Facultad de Ciencias de la Educación",7000979,"Doble grado en Educación Primaria y Educación Infantil (Facultad de Ciencias de la Educación)",12.746,"Doble grado en Educación Primaria y Educación Infantil"
2022,"Almería","Facultad de Psicología",2503870,"Grado en Trabajo Social (Facultad de Psicología)",5,"Grado en Trabajo Social"
2022,"Almería","Escuela Superior de Ingeniería",2501726,"Grado en Ingeniería Agrícola (Escuela Superior de Ingeniería)",5,"Grado en Ingeniería Agrícola"
